article_number,article_title,article_text,book,title,chapter,section,annotations
33,Patrimoniul profesional individual,"(1) Constituirea masei patrimoniale afectate exercitării în mod individual a unei profesii autorizate se stabilește prin actul încheiat de titular, cu respectarea condițiilor de formă și de publicitate prevăzute de lege.
(2) Dispozițiile alin. (1) se aplică în mod corespunzător și în cazul măririi sau micșorării patrimoniului profesional individual.
(3) Lichidarea patrimoniului profesional individual se face în conformitate cu dispozițiile art. 1.941-1.948, dacă prin lege nu se dispune altfel.",Cartea I Despre persoane*),Titlul I Dispoziții generale,"Capitolul IV Publicitatea drepturilor, a actelor și a faptelor juridice",,
34,Noțiune,Capacitatea de folosință este aptitudinea persoanei de a avea drepturi și obligații civile.,Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea 1 Capacitatea de folosință,
35,Durata capacității de folosință,Capacitatea de folosință începe la nașterea persoanei și încetează odată cu moartea acesteia.,Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea 1 Capacitatea de folosință,
36,Drepturile copilului conceput,"Drepturile copilului sunt recunoscute de la concepțiune, însă numai dacă el se naște viu. Dispozițiile art. 412 referitoare la timpul legal al concepțiunii sunt aplicabile.",Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea 1 Capacitatea de folosință,
37,Noțiune,Capacitatea de exercițiu este aptitudinea persoanei de a încheia singură acte juridice civile.,Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea a 2-a Capacitatea de exercițiu,
38,Începutul capacității de exercițiu,"(1) Capacitatea de exercițiu deplină începe la data când persoana devine majoră.
(2) Persoana devine majoră la împlinirea vârstei de 18 ani.",Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea a 2-a Capacitatea de exercițiu,
39,Situația minorului căsătorit,"(1) Minorul dobândește, prin căsătorie, capacitatea deplină de exercițiu.
(2) În cazul în care căsătoria este anulată, minorul care a fost de bună-credință la încheierea căsătoriei păstrează capacitatea deplină de exercițiu.",Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea a 2-a Capacitatea de exercițiu,
40,Capacitatea de exercițiu anticipată,"Pentru motive temeinice, instanța de tutelă poate recunoaște minorului care a împlinit vârsta de 16 ani capacitatea deplină de exercițiu. În acest scop, vor fi ascultați și părinții sau tutorele minorului, luându-se, când este cazul, și avizul consiliului de familie.",Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea a 2-a Capacitatea de exercițiu,
41,Capacitatea de exercițiu restrânsă,"(1) Minorul care a împlinit vârsta de 14 ani are capacitatea de exercițiu restrânsă.
(1^1) Are capacitate de exercițiu restrânsă și majorul care beneficiază de consiliere judiciară.
(la 18-08-2022, Articolul 41 din Sectiunea a 2-a , Capitolul I , Titlul II , Cartea I a fost completat de Punctul 1, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )
(2) Actele juridice ale persoanei cu capacitate de exercițiu restrânsă se încheie de aceasta, cu încuviințarea părinților sau, după caz, a tutorelui, iar în cazurile prevăzute de lege, și cu avizul consiliului de familie, dacă există, și autorizarea instanței de tutelă. Încuviințarea, avizul sau autorizarea poate fi dată, cel mai târziu, în momentul încheierii actului.
(la 18-08-2022, Alineatul (2) din Articolul 41 , Sectiunea a 2-a , Capitolul I , Titlul II , Cartea I a fost modificat de Punctul 2, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )
(3) Cu toate acestea, persoana cu capacitate de exercițiu restrânsă poate face singură acte de conservare, acte de administrare care nu o prejudiciază, acte de acceptare a unei moșteniri sau de acceptare a unor liberalități fără sarcini, precum și acte de dispoziție de mică valoare, cu caracter curent și care se execută la data încheierii lor. Dispozițiile art. 168 alin. (4) rămân aplicabile.
(la 18-08-2022, Alineatul (3) din Articolul 41 , Sectiunea a 2-a , Capitolul I , Titlul II , Cartea I a fost modificat de Punctul 2, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )",Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea a 2-a Capacitatea de exercițiu,
42,Regimul unor acte ale persoanei cu capacitate de exercițiu restrânsă,"(la 18-08-2022, Denumirea marginală a articolului 42 din Sectiunea a 2-a , Capitolul I , Titlul II , Cartea I a fost modificată de Punctul 3, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )
(1) Minorul poate să încheie acte juridice privind munca, îndeletnicirile artistice sau sportive ori referitoare la profesia sa, cu încuviințarea părinților sau a tutorelui, precum și cu respectarea dispozițiilor legii speciale, dacă este cazul.
(2) În acest caz, minorul exercită singur drepturile și execută tot astfel obligațiile izvorâte din aceste acte și poate dispune singur de veniturile dobândite.
(3) Dispozițiile prezentului articol sunt aplicabile și majorului care beneficiază de consiliere judiciară, în măsura în care instanța de tutelă nu dispune altfel.
(la 18-08-2022, Articolul 42 din Sectiunea a 2-a , Capitolul I , Titlul II , Cartea I a fost completat de Punctul 4, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )",Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea a 2-a Capacitatea de exercițiu,
43,Lipsa capacității de exercițiu,"(1) În afara altor cazuri prevăzute de lege, nu au capacitate de exercițiu:
a) minorul care nu a împlinit vârsta de 14 ani;
b) cel care beneficiază de măsura tutelei speciale.
(la 18-08-2022, Litera b) din Alineatul (1) , Articolul 43 , Sectiunea a 2-a , Capitolul I , Titlul II , Cartea I a fost modificată de Punctul 5, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )
(2) Pentru cei care nu au capacitate de exercițiu, actele juridice se încheie, în numele acestora, de reprezentanții lor legali, în condițiile prevăzute de lege.
(la 18-08-2022, Alineatul (2) din Articolul 43 , Sectiunea a 2-a , Capitolul I , Titlul II , Cartea I a fost modificat de Punctul 5, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )
(3) Cu toate acestea, persoana lipsită de capacitatea de exercițiu poate încheia singură actele anume prevăzute de lege, actele de conservare, precum și actele de dispoziție de mică valoare, cu caracter curent și care se execută la momentul încheierii lor. Dispozițiile art. 168 alin. (4) rămân aplicabile.
(la 18-08-2022, Alineatul (3) din Articolul 43 , Sectiunea a 2-a , Capitolul I , Titlul II , Cartea I a fost modificat de Punctul 5, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )
(4) Actele pe care cel lipsit de capacitate de exercițiu le poate încheia singur pot fi făcute și de reprezentantul său legal, în afară de cazul în care legea ar dispune altfel sau natura actului nu i-ar permite acest lucru.
(la 18-08-2022, Alineatul (4) din Articolul 43 , Sectiunea a 2-a , Capitolul I , Titlul II , Cartea I a fost modificat de Punctul 5, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )",Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea a 2-a Capacitatea de exercițiu,
44,Sancțiune,"(1) Actele făcute de persoana lipsită de capacitate de exercițiu sau cu capacitate de exercițiu restrânsă, altele decât cele prevăzute la art. 41 alin. (3) și la art. 43 alin. (3), precum și actele făcute de tutore fără avizul consiliului de familie sau autorizarea instanței de tutelă, atunci când acestea sunt cerute de lege, sunt anulabile, chiar fără dovedirea unui prejudiciu.
(2) Cel lipsit de capacitate de exercițiu sau cu capacitate de exercițiu restrânsă poate invoca și singur, în apărare, anulabilitatea actului pentru încălcarea dispozițiilor legale în materie de capacitate de exercițiu.
(la 18-08-2022, Articolul 44 din Sectiunea a 2-a , Capitolul I , Titlul II , Cartea I a fost modificat de Punctul 6, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )",Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea a 2-a Capacitatea de exercițiu,
45,Frauda comisă de incapabil,"Simpla declarație că este capabil să contracteze, făcută de cel lipsit de capacitate de exercițiu sau cu capacitate de exercițiu restrânsă, nu înlătură anulabilitatea actului. Dacă însă a folosit manopere dolosive, instanța, la cererea părții induse în eroare, poate menține contractul atunci când apreciază că aceasta ar constitui o sancțiune civilă adecvată.",Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea a 2-a Capacitatea de exercițiu,
46,Regimul anulabilității,"(1) Acțiunea în anulare poate fi exercitată de reprezentantul legal, de minorul care a împlinit vârsta de 14 ani, de cel care beneficiază de consiliere judiciară, precum și de ocrotitorul legal sau de consiliul de familie, după caz.
(2) Atunci când actul s-a încheiat fără autorizarea instanței de tutelă, necesară potrivit legii, aceasta va sesiza procurorul în vederea exercitării acțiunii în anulare.
(3) Persoana capabilă de a contracta nu poate opune anulabilitatea contractului și nici exercita acțiunea în anulare, însă poate cere menținerea contractului și reducerea sau majorarea propriei prestații, după caz.
(la 18-08-2022, Articolul 46 din Sectiunea a 2-a , Capitolul I , Titlul II , Cartea I a fost modificat de Punctul 7, Articolul 7, Capitolul II din LEGEA nr. 140 din 17 mai 2022, publicată în MONITORUL OFICIAL nr. 500 din 20 mai 2022 )",Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea a 2-a Capacitatea de exercițiu,
47,Limitele obligației de restituire,Persoana lipsită de capacitate de exercițiu sau cu capacitate de exercițiu restrânsă nu este obligată la restituire decât în limita folosului realizat. Dispozițiile art. 1.635-1.649 se aplică în mod corespunzător.,Cartea I Despre persoane*),Titlul II Persoana fizică,Capitolul I Capacitatea civilă a persoanei fizice,Secţiunea a 2-a Capacitatea de exercițiu,
